agency_id,agency_name,state,year_month,monthly_amount,work_count,cumulative_amount,work_category
agy_0001,Alappuzha Municipal Council,Kerala,2015-08,982015.31,3,982015.31,Health
agy_0001,Alappuzha Municipal Council,Kerala,2015-12,1255696.8199999998,2,2237712.13,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-02,1087931.03,2,3325643.16,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-04,1018608.25,1,4344251.41,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-06,1661275.43,1,6005526.84,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-08,1336190.4,2,7341717.24,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-09,1009026.8799999999,2,8350744.119999999,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-10,1176583.93,2,9527328.049999999,Health
agy_0001,Alappuzha Municipal Council,Kerala,2016-11,773940.39,1,10301268.44,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-01,1343810.74,3,11645079.18,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-05,1029303.51,3,12674382.69,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-06,1789732.2,1,14464114.89,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-08,743693.48,2,15207808.37,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-09,1084831.46,1,16292639.83,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-10,1327892.8599999999,2,17620532.689999998,Health
agy_0001,Alappuzha Municipal Council,Kerala,2017-11,817930.12,2,18438462.81,Health
agy_0001,Alappuzha Municipal Council,Kerala,2018-02,714632.47,2,19153095.28,Health
agy_0001,Alappuzha Municipal Council,Kerala,2018-03,1234926.76,2,20388022.04,Health
agy_0001,Alappuzha Municipal Council,Kerala,2018-11,1019066.69,2,21407088.73,Health
agy_0001,Alappuzha Municipal Council,Kerala,2019-02,933026.19,3,22340114.919999998,Health
agy_0001,Alappuzha Municipal Council,Kerala,2019-03,1278294.35,2,23618409.27,Health
agy_0001,Alappuzha Municipal Council,Kerala,2019-05,1078355.23,1,24696764.5,Health
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-06,2489325.05,1,2489325.05,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-07,1561260.03,1,4050585.08,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-08,2060873.49,3,6111458.57,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-10,963156.97,2,7074615.54,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-11,1683903.41,1,8758518.95,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2015-12,2194186.9299999997,2,10952705.879999999,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-01,4480124.92,1,15432830.799999999,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-02,1527550.34,3,16960381.14,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-03,1577011.1600000001,2,18537392.3,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-04,1927884.07,1,20465276.369999997,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-05,2457795.18,2,22923071.55,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-08,2057621.42,2,24980692.97,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-09,1598908.28,2,26579601.25,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2016-12,2208303.23,1,28787904.48,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-01,1086106.06,2,29874010.54,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-02,3026805.06,1,32900815.6,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-03,1948096.69,2,34848912.29,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-04,1933517.37,1,36782429.66,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-05,1988578.8599999999,3,38771008.519999996,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-06,1667894.29,3,40438902.81,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-10,2237808.63,2,42676711.44,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2017-12,2906696.76,1,45583408.2,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-01,1312541.3199999998,2,46895949.519999996,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-05,2287667.56,3,49183617.08,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-06,2541002.58,1,51724619.66,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-08,2395594.0100000002,2,54120213.67,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-09,2376072.4,3,56496286.07,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-10,1573724.52,1,58070010.589999996,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2018-11,2108809.33,3,60178819.92,Water Supply
agy_0002,Chalakudy Municipal Corporation,Kerala,2019-03,2143696.84,1,62322516.76,Water Supply
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-06,2132057.47,2,2132057.47,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-07,1046830.16,1,3178887.6300000004,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-08,3494368.33,1,6673255.960000001,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-09,2279101.3,2,8952357.26,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-10,2481033.66,3,11433390.92,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-11,2455137.61,1,13888528.530000001,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2015-12,1375671.56,1,15264200.09,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-01,2424348.2,2,17688548.29,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-02,1883614.01,2,19572162.3,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-03,1963914.1,3,21536076.400000002,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-04,3239888.25,3,24775964.65,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-06,1963300.56,3,26739265.21,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-07,851574.58,1,27590839.79,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-08,2048048.13,2,29638887.92,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-09,1387235.95,3,31026123.87,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-10,2031642.07,2,33057765.94,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-11,2036041.63,2,35093807.57,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2016-12,2690243.3200000003,2,37784050.89,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-01,2365195.66,2,40149246.55,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-02,2315219.98,1,42464466.53,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-03,1772947.25,2,44237413.78,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-04,2427647.6799999997,2,46665061.46,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-05,1572882.68,1,48237944.14,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-06,2138703.91,2,50376648.05,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-07,1683151.39,1,52059799.44,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-08,1804634.84,3,53864434.28,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-10,1920236.77,1,55784671.05,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-11,2430394.05,2,58215065.1,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2017-12,1861362.4300000002,2,60076427.53,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-01,1239445.52,1,61315873.05,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-02,2173523.4,2,63489396.45,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-03,2128999.55,2,65618396.0,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-04,1598330.12,1,67216726.12,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-05,1618759.41,2,68835485.53,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-06,2154012.1,1,70989497.63,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-07,2985329.51,1,73974827.14,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-08,1608500.71,2,75583327.85,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-09,2757750.9,2,78341078.75,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-10,2476566.04,3,80817644.79,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-11,2282638.15,2,83100282.94,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2018-12,2136644.86,1,85236927.8,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2019-02,3244625.72,1,88481553.52,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2019-03,3238609.5,3,91720163.02,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2019-04,1500680.46,3,93220843.48,Public Amenities
agy_0003,Ernakulam Rural Development Agency,Kerala,2019-05,2047179.4300000002,2,95268022.91,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2015-10,1673636.27,2,1673636.27,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2016-06,1357767.4700000002,2,3031403.74,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2017-11,1795786.79,1,4827190.53,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2018-01,808418.11,2,5635608.640000001,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2018-05,1014112.07,1,6649720.71,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2018-07,1087363.15,3,7737083.86,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2018-11,1642220.44,3,9379304.3,Public Amenities
agy_0004,Ernakulam Zilla Parishad,Kerala,2018-12,1539508.33,3,10918812.63,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-06,1961470.65,2,1961470.65,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-07,1382174.58,1,3343645.23,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-08,1338444.3699999999,3,4682089.6,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-09,2052492.9900000002,3,6734582.59,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-10,1062654.07,3,7797236.66,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-11,876083.14,1,8673319.8,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2015-12,1388568.38,1,10061888.18,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-01,951320.26,1,11013208.44,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-02,1731964.72,3,12745173.16,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-03,1497507.0,1,14242680.16,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-04,1624415.95,2,15867096.11,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-05,1709569.71,1,17576665.82,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-06,1571135.6400000001,2,19147801.46,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-07,1342897.77,3,20490699.23,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-08,1769252.38,2,22259951.61,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-09,1715547.85,1,23975499.46,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-10,1309949.71,1,25285449.17,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-11,1266594.6600000001,2,26552043.830000002,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2016-12,1762186.3900000001,2,28314230.22,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-01,2041973.66,3,30356203.88,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-02,1360321.67,1,31716525.55,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-03,1426127.22,3,33142652.77,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-04,1334567.55,3,34477220.32,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-05,2578962.89,1,37056183.21,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-06,836310.57,1,37892493.78,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-07,1378907.75,3,39271401.53,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-08,1356900.3399999999,3,40628301.87,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-09,1594996.21,2,42223298.08,Public Amenities
agy_0005,Idukki Nagar Panchayat,Kerala,2017-10,1487916.71,3,43711214.79,Public Amenities
