mp_name,constituency,lok_sabha_term,entitlement_cr,fund_received_cr,amount_available_cr,works_recommended_cost_cr,works_sanctioned_cost_cr,actual_expenditure_cr,utilization_pct,unspent_balance_cr
Kuldeep Rai Sharma,Andaman And Nicobar Islands,17th,17.0,5.0,5.2038,18.2939,10.9222,2.5269,50.538,2.6769
Srinivas Kesineni,Vijayawada,17th,17.0,9.5,15.3459,36.0984,22.8532,12.5675,130.289474,2.7784
Kuruva Gorantla Madhav,Hindupur,17th,17.0,9.5,18.5668,34.0322,25.2437,16.1535,168.036842,2.4133
Mvvv Satyanarayana,Mvvv Visakhapatnam,17th,17.0,7.0,9.6406,8.9386,8.6086,7.6388,107.697143,2.0018
Raghu Ramakrishna Raju Kanumuru,Narasapuram,17th,17.0,5.0,11.7435,12.35,6.96,2.1454,40.908,9.5981
Maddila Gurumoorthy,Tirupati(Sc),17th,12.0,2.0,12.6146,25.9159,22.5134,10.0,498.0,2.6146
Beesetti Venkata Satyavathi,Anakapalle,17th,17.0,7.0,16.1463,20.8276,15.7482,13.3994,189.42,2.7469
Talari Rangaiah,Anantapur,17th,24.5,7.0,10.9197,27.7902,22.5322,9.7397,137.138571,1.18
Pocha Brahmananda Reddy,Nandyal,17th,27.0,17.0,18.3777,22.5189,22.121,16.0729,92.546471,2.3048
Lavu Sri Krishna Devarayalu,Narasaraopet,17th,17.0,7.0,11.1752,13.6755,13.2705,9.9319,141.884286,1.2433
Kinjarapu Ram Mohan Naidu,Srikakulam,17th,17.0,9.5,15.5906,21.1356,18.0881,14.5268,150.913684,1.0638
Goddeti Madhavi,Araku(St),17th,17.0,7.0,11.1461,16.0751,12.7113,10.5104,148.148571,0.6357
Sanjeev Kumar Singari,Kurnool,17th,19.5,7.0,7.2479,11.8554,11.3355,7.2349,101.355714,0.013
Magunta Sreenivasulu Reddy,Ongole,17th,24.5,5.0,10.3075,17.0738,17.0738,8.6391,170.782,1.6684
Y.S. Avinash Reddy,Kadapa,17th,17.0,7.0,11.0538,17.8726,12.3677,8.1337,114.195714,2.9201
Durga Prasad Rao Balli-Ex,Tirupati(Sc),17th,5.0,5.0,5.1501,5.935,4.5,1.9899,37.798,3.1602
Chandra Sekhar Bellana,Vizianagaram,17th,17.0,7.0,12.0785,12.6092,11.9143,9.8712,139.017143,2.2073
Margani Bharat,Rajahmundry,17th,17.0,7.0,15.6804,25.2496,24.0581,13.4402,190.002857,2.2402
Nallakonda Gari Reddeppa,Chittoor,17th,17.0,7.0,13.4497,24.0586,24.0586,10.0103,141.004286,3.4394
Jayadev Galla,Guntur,17th,17.0,5.0,8.7015,11.7188,11.7188,6.3375,124.75,2.364
Nandigam Suresh,Bapatla,17th,17.0,7.0,11.8441,20.3126,19.9126,11.8288,166.982857,0.0153
Adala Reddy,Nellore(Sc),17th,17.0,5.0,8.6926,11.753,9.633,6.7939,133.878,1.8987
Balashowry Vallabbhaneni,Machilipatnam,17th,17.0,7.0,13.2067,21.8703,18.2866,10.2996,145.137143,2.9071
Midhun Reddy,Rajampet,17th,19.5,7.0,12.3909,28.8043,23.7913,10.3053,145.218571,2.0856
Geetha Viswanath Vanga,Kakinada,17th,17.0,7.0,7.3494,14.5425,11.2576,5.3381,74.258571,2.0113
Chinta Anuradha,Amalapuram(Sc),17th,17.0,5.0,5.304,13.0003,11.5304,5.1252,100.504,0.1788
Kotagiri Sridhar,Eluru,17th,17.0,7.0,7.5129,24.7643,17.4073,6.0219,84.027143,1.491
Kiren Rijiju,Arunachal West,17th,17.0,7.0,7.3959,7.0795,6.7695,6.3345,88.492857,1.0614
Tapir Gao,Arunachal East,17th,17.0,7.0,7.9879,7.66,7.66,7.8,109.428571,0.1879
Teli Rameswar,Dibrugarh,17th,17.0,7.0,7.1836,6.9236,6.3696,6.1596,85.994286,1.024
Pallab Lochan Das,Tezpur,17th,17.0,9.5,9.6472,9.4595,9.4593,8.7325,91.615789,0.9147
Gaurav Gogoi,Kaliabor,17th,17.0,12.0,12.1514,11.7472,11.1682,10.9593,91.3275,1.1921
Ajmal Badruddin,Dhubri,17th,17.0,12.0,12.1643,9.5434,9.5434,8.375,68.208333,3.7893
Rajdeep Roy,Silchar,17th,17.0,12.0,12.1255,12.0,12.0,11.8771,98.975833,0.2484
Naba (Hira) Kumar Sarania,Kokrajhar (St),17th,17.0,9.5,9.58,9.1197,9.1115,9.1815,94.647368,0.3985
Horen Sing Bey,Autonomous District(St),17th,29.5,19.5,20.2547,20.0,20.0,18.6401,95.590256,1.6146
Queen Oja,Guwahati,17th,17.0,9.5,10.0725,7.36,9.1948,7.7379,81.451579,2.3346
Abdul Khaleque,Barpeta,17th,17.0,7.0,7.1251,6.8887,6.8487,6.0964,85.091429,1.0287
Pradyut Bordoloi,Nowgong,17th,17.0,12.0,12.2237,12.4072,11.7019,11.1719,91.099167,1.0518
Kripanath Mallah,Karimganj (Sc),17th,17.0,7.0,7.1458,7.0,6.6899,6.3294,90.42,0.8164
Dilip Saikia,Mangaldoi,17th,17.0,9.5,9.6428,9.535,8.695,7.845,82.578947,1.7978
Topon Kumar Gogoi,Jorhat,17th,17.0,7.0,7.276,6.9276,6.8976,6.258,87.4,1.018
Pradan Baruah,Lakhimpur,17th,17.0,12.0,12.2036,12.0,12.0,11.3813,94.844167,0.8223
Dinesh Chandra Yadav,Madhepura,17th,17.0,5.0,9.5163,14.8,8.7427,8.3643,165.286,1.152
Ravi Shankar Prasad,Patna Sahib,17th,17.0,5.0,5.0856,6.3761,6.3149,5.0342,100.684,0.0514
Ashwini Kumar Choubey,Buxar,17th,17.0,9.5,9.7288,9.6614,9.5195,8.6115,90.647368,1.1173
Ashok Kumar Yadav,Madhubani,17th,17.0,9.5,15.2984,11.7461,14.3256,13.9613,144.961053,1.3371
Kaushalendra Kumar,Nalanda,17th,17.0,7.0,9.8061,14.5493,10.4794,8.8755,126.792857,0.9306
Mahabali Singh,Karakat,17th,17.0,9.5,16.0257,15.7636,15.2794,13.152,137.915789,2.8737
Ajay Nishad,Muzaffarpur,17th,17.0,12.0,13.1324,15.8,13.1249,12.8674,107.228333,0.265
Raj Kumar Singh,Arrah,17th,17.0,2.5,2.7988,9.5508,1.9077,0.0,0.0,2.7988
Giridhari Yadav,Banka,17th,17.0,9.5,9.6569,12.5518,9.6218,8.3034,86.351579,1.3535
Prince Raj,Samastipur(Sc),17th,17.0,9.5,9.8534,11.55,10.6558,9.6436,101.511579,0.2098
Ajay Kumar Mandal,Bhagalpur,17th,17.0,7.0,9.2844,20.7105,15.4899,7.9956,114.222857,1.2888
Baidyanath Prasad Mahto,Valmiki Nagar,17th,5.0,5.0,5.0609,2.5,2.0787,1.5676,30.352,3.4933
Chirag Paswan,Jamui(Sc),17th,17.0,7.0,7.1969,13.5914,6.9644,6.222,86.885714,0.9749
Santosh Kumar,Purnea,17th,17.0,7.0,10.4924,13.7,12.0742,10.4374,147.105714,0.055
Ramprit Mandal,Jhanjharpur,17th,17.0,12.0,12.2359,12.5246,12.0195,11.8725,96.9375,0.3634
Giriraj Singh,Begusarai,17th,17.0,7.0,7.3094,10.5322,5.8309,5.8809,83.298571,1.4285
