data_as_on,state,house_name,mp_name,constituency,category,value,unit,note
15-03-2024,Punjab,17th Lok Sabha,Harinder Singh Khalsa,Fatehgarh Sahib,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Harinder Singh Khalsa,Fatehgarh Sahib,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Harinder Singh Khalsa,Fatehgarh Sahib,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Harinder Singh Khalsa,Fatehgarh Sahib,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Harinder Singh Khalsa,Fatehgarh Sahib,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Gurjeet Singh Aujla,Amritsar,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Gurjeet Singh Aujla,Amritsar,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Gurjeet Singh Aujla,Amritsar,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Gurjeet Singh Aujla,Amritsar,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Punjab,17th Lok Sabha,Gurjeet Singh Aujla,Amritsar,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Rajashree Mallick,Jagatsinghpur,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Rajashree Mallick,Jagatsinghpur,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Rajashree Mallick,Jagatsinghpur,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Rajashree Mallick,Jagatsinghpur,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Rajashree Mallick,Jagatsinghpur,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Bhartruhari Mahtab,Cuttack,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Bhartruhari Mahtab,Cuttack,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Bhartruhari Mahtab,Cuttack,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Bhartruhari Mahtab,Cuttack,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Odisha,17th Lok Sabha,Bhartruhari Mahtab,Cuttack,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Supriya Sule,Baramati,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Supriya Sule,Baramati,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Supriya Sule,Baramati,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Supriya Sule,Baramati,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Supriya Sule,Baramati,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Nitin Gadkari,Nagpur,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Nitin Gadkari,Nagpur,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Nitin Gadkari,Nagpur,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Nitin Gadkari,Nagpur,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Maharashtra,17th Lok Sabha,Nitin Gadkari,Nagpur,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Karnataka,17th Lok Sabha,D. K. Suresh,Bangalore Rural,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Karnataka,17th Lok Sabha,D. K. Suresh,Bangalore Rural,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Karnataka,17th Lok Sabha,D. K. Suresh,Bangalore Rural,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Karnataka,17th Lok Sabha,D. K. Suresh,Bangalore Rural,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Karnataka,17th Lok Sabha,D. K. Suresh,Bangalore Rural,Unspent Amount,3.6,value in Rupees Crores,
15-03-2024,Uttar Pradesh,17th Lok Sabha,Narendra Modi,Varanasi,Entitlement of Constituency,25.0,value in Rupees Crores,
15-03-2024,Uttar Pradesh,17th Lok Sabha,Narendra Modi,Varanasi,Total Funds Released by Government of India,22.5,value in Rupees Crores,
15-03-2024,Uttar Pradesh,17th Lok Sabha,Narendra Modi,Varanasi,Cumulative amount of works sanctioned by District Authority,21.8,value in Rupees Crores,
15-03-2024,Uttar Pradesh,17th Lok Sabha,Narendra Modi,Varanasi,Total Expenditure Incurred,18.9,value in Rupees Crores,
15-03-2024,Uttar Pradesh,17th Lok Sabha,Narendra Modi,Varanasi,Unspent Amount,3.6,value in Rupees Crores,
