state,district,loksabha_constituency,house_name,mp_type,mp_name,implementing_agency_name,work_id,work_name,work_description,work_category,sanction_date,sanction_amount,units,status,image_status
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur  Panchayat  Samiti,WS/FAT949/2022/01001,Bituminous Road Overhaul between Village Primary Health Centre and Main Highway,Bituminous Road Overhaul between Village Primary Health Centre and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,03-01-2022,683922,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,jagatsinghpur panchayat samiti,WS/FAT181/2022/01002,Installation of Solar Powered Submersible Tube Wells at Sector 4,Installation of Solar Powered Submersible Tube Wells at Sector 4. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,25-01-2022,604945,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT479/2022/01003,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,27-01-2022,791682,sanction_amount in Rupees,Work Completed,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,jagatsinghpur panchayat samiti,WS/FAT755/2022/01004,Overhead Drinking Water Reservoir & Distribution Line at Canal Bridge,Overhead Drinking Water Reservoir & Distribution Line at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,13-04-2022,2700973,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT680/2022/01005,Installation of Solar Powered Submersible Tube Wells at Railway Station Road,Installation of Solar Powered Submersible Tube Wells at Railway Station Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,09-05-2022,2728434,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,jagatsinghpur panchayat samiti,WS/FAT674/2022/01006,Procurement of Advance Life Support Ambulance for Sub-district Hospital Shiv Mandir Chowk,Procurement of Advance Life Support Ambulance for Sub-district Hospital Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,05-06-2022,459259,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur  Panchayat  Samiti,WS/FAT193/2022/01007,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12,Procurement of Advance Life Support Ambulance for Sub-district Hospital Ward 12. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,05-06-2022,435373,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT579/2022/01008,Overhead Drinking Water Reservoir & Distribution Line at Outer Ring Road,Overhead Drinking Water Reservoir & Distribution Line at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,13-06-2022,353692,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,jagatsinghpur panchayat samiti,WS/FAT756/2022/01009,Construction of CC Road from Outer Ring Road to Primary Health Centre,Construction of CC Road from Outer Ring Road to Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 4 execution.,Roads & Bridges,25-06-2022,582456,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT619/2022/01010,Addition of Two Classrooms and Laboratory Block at Govt High School Kalyan Puram,Addition of Two Classrooms and Laboratory Block at Govt High School Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,17-08-2022,970789,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT643/2022/01011,Overhead Drinking Water Reservoir & Distribution Line at Railway Station Road,Overhead Drinking Water Reservoir & Distribution Line at Railway Station Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,18-08-2022,1013801,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT180/2022/01012,Public Library and Reading Room Building at Gram Panchayat Office,Public Library and Reading Room Building at Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,08-11-2022,2355653,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT533/2023/01013,Desilting and Renovation of Village Water Pond at Primary Health Centre,Desilting and Renovation of Village Water Pond at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,17-02-2023,1320356,sanction_amount in Rupees,Financial Sanction Approved,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT629/2023/01014,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road,High-Mast LED Street Lighting System across 8 junctions in Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,12-02-2023,1657999,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur  Panchayat  Samiti,WS/FAT107/2023/01015,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus,Construction of Multi-purpose Community Kalyan Mandap at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,08-03-2023,1897875,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT319/2023/01016,Construction of Multi-purpose Community Kalyan Mandap at Primary Health Centre,Construction of Multi-purpose Community Kalyan Mandap at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,09-05-2023,1861809,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT462/2023/01017,Desilting and Renovation of Village Water Pond at Ward 12,Desilting and Renovation of Village Water Pond at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,04-06-2023,539822,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT512/2023/01018,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,21-06-2023,832967,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT287/2023/01019,Emergency Interlock Tile Pavement near Gram Panchayat Office,Emergency Interlock Tile Pavement near Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,15-06-2023,771537,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT653/2023/01020,Installation of Solar Powered Submersible Tube Wells at Shiv Mandir Chowk,Installation of Solar Powered Submersible Tube Wells at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 4 execution.,Water Supply & Sanitation,04-06-2023,657783,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT160/2023/01021,Desilting and Renovation of Village Water Pond at Shiv Mandir Chowk,Desilting and Renovation of Village Water Pond at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,28-08-2023,1340004,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT848/2023/01022,Bituminous Road Overhaul between Village Bus Stand and Main Highway,Bituminous Road Overhaul between Village Bus Stand and Main Highway. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,10-08-2023,1848209,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT162/2023/01023,Overhead Drinking Water Reservoir & Distribution Line at Bus Stand,Overhead Drinking Water Reservoir & Distribution Line at Bus Stand. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,19-09-2023,3296195,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur  Panchayat  Samiti,WS/FAT158/2023/01024,Construction of CC Road from Govt School Campus to Shiv Mandir Chowk,Construction of CC Road from Govt School Campus to Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,28-09-2023,5160006,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur Panchayat Samiti,WS/FAT513/2023/01025,Installation of Solar Powered Submersible Tube Wells at Govt School Campus,Installation of Solar Powered Submersible Tube Wells at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,22-09-2023,4619081,sanction_amount in Rupees,Financial Sanction Approved,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur  Panchayat  Samiti,WS/FAT367/2023/01026,Bituminous Road Overhaul between Village Outer Ring Road and Main Highway,Bituminous Road Overhaul between Village Outer Ring Road and Main Highway. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,19-10-2023,2527416,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT676/2023/01027,Community Public Sanitation Block with Bio-Digester at Shiv Mandir Chowk,Community Public Sanitation Block with Bio-Digester at Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,01-12-2023,367092,sanction_amount in Rupees,Financial Sanction Approved,Yes
