raw_name,state,district,canonical_agency_id,canonical_name,match_score
ALAPPUZHA MUNICIPAL COUNCIL,Kerala,Alappuzha,agy_0001,Alappuzha Municipal Council,100.0
Alappuzha Municipal Council,Kerala,Alappuzha,agy_0001,Alappuzha Municipal Council,100.0
alappuzha municipal council,Kerala,Alappuzha,agy_0001,Alappuzha Municipal Council,100.0
CHALAKUDY MUNICIPAL CORPORATION,Kerala,Ernakulam,agy_0002,Chalakudy Municipal Corporation,100.0
Chalakudy Muncipal Corporation,Kerala,Ernakulam,agy_0002,Chalakudy Municipal Corporation,98.4
Chalakudy Municipal Corporation,Kerala,Ernakulam,agy_0002,Chalakudy Municipal Corporation,100.0
chalakudy municipal corporation,Kerala,Ernakulam,agy_0002,Chalakudy Municipal Corporation,100.0
ERNAKULAM RURAL DEVELOPMENT AGENCY,Kerala,Ernakulam,agy_0003,Ernakulam Rural Development Agency,100.0
Ernakulam Rural Development Agency,Kerala,Ernakulam,agy_0003,Ernakulam Rural Development Agency,100.0
ernakulam rural development agency,Kerala,Ernakulam,agy_0003,Ernakulam Rural Development Agency,100.0
ERNAKULAM ZILLA PARISHAD,Kerala,Ernakulam,agy_0004,Ernakulam Zilla Parishad,100.0
Ernakulam Zilla Parishad,Kerala,Ernakulam,agy_0004,Ernakulam Zilla Parishad,100.0
ernakulam zilla parishad,Kerala,Ernakulam,agy_0004,Ernakulam Zilla Parishad,100.0
IDUKKI NAGAR PANCHAYAT,Kerala,Idukki,agy_0005,Idukki Nagar Panchayat,100.0
Idukki Nagar Panchayat,Kerala,Idukki,agy_0005,Idukki Nagar Panchayat,100.0
idukki nagar panchayat,Kerala,Idukki,agy_0005,Idukki Nagar Panchayat,100.0
IDUKKI RURAL DEVELOPMENT AGENCY,Kerala,Idukki,agy_0006,Idukki Rural Development Agency,100.0
Idukki Rural Development Agency,Kerala,Idukki,agy_0006,Idukki Rural Development Agency,100.0
idukki rural development agency,Kerala,Idukki,agy_0006,Idukki Rural Development Agency,100.0
KANNUR GRAM PANCHAYAT,Kerala,Kannur,agy_0007,Kannur Gram Panchayat,100.0
Kannur Gram Panchayat,Kerala,Kannur,agy_0007,Kannur Gram Panchayat,100.0
kannur gram panchayat,Kerala,Kannur,agy_0007,Kannur Gram Panchayat,100.0
KANNUR PUBLIC WORKS DEPARTMENT,Kerala,Kannur,agy_0008,Kannur Public Works Department,100.0
Kannur Public Works Department,Kerala,Kannur,agy_0008,Kannur Public Works Department,100.0
kannur public works department,Kerala,Kannur,agy_0008,Kannur Public Works Department,100.0
KASARAGOD PANCHAYAT SAMITI,Kerala,Kasaragod,agy_0009,Kasaragod Panchayat Samiti,100.0
Kasaragod Panchayat  Samiti,Kerala,Kasaragod,agy_0009,Kasaragod Panchayat Samiti,100.0
Kasaragod Panchayat Samiti,Kerala,Kasaragod,agy_0009,Kasaragod Panchayat Samiti,100.0
kasaragod panchayat samiti,Kerala,Kasaragod,agy_0009,Kasaragod Panchayat Samiti,100.0
KASARAGOD RURAL DEVELOPMENT AGENCY,Kerala,Kasaragod,agy_0010,Kasaragod Rural Development Agency,100.0
Kasaragod Rural Development Agency,Kerala,Kasaragod,agy_0010,Kasaragod Rural Development Agency,100.0
kasaragod rural development agency,Kerala,Kasaragod,agy_0010,Kasaragod Rural Development Agency,100.0
Kasaragod Panch. Samiti,Kerala,Kasaragod,agy_0011,Kasaragod Panch. Samiti,100.0
KOLLAM RURAL DEVELOPMENT AGENCY,Kerala,Kollam,agy_0012,Kollam Rural Development Agency,100.0
Kollam Rural Development Agency,Kerala,Kollam,agy_0012,Kollam Rural Development Agency,100.0
kollam rural development agency,Kerala,Kollam,agy_0012,Kollam Rural Development Agency,100.0
KOLLAM ZILLA PARISHAD,Kerala,Kollam,agy_0013,Kollam Zilla Parishad,100.0
Kollam Zilla Parishad,Kerala,Kollam,agy_0013,Kollam Zilla Parishad,100.0
kollam zilla parishad,Kerala,Kollam,agy_0013,Kollam Zilla Parishad,100.0
KOTTAYAM PANCHAYAT SAMITI,Kerala,Kottayam,agy_0014,Kottayam Panchayat Samiti,100.0
Kottayam Panchayat  Samiti,Kerala,Kottayam,agy_0014,Kottayam Panchayat Samiti,100.0
Kottayam Panchayat Samiti,Kerala,Kottayam,agy_0014,Kottayam Panchayat Samiti,100.0
kottayam panchayat samiti,Kerala,Kottayam,agy_0014,Kottayam Panchayat Samiti,100.0
Kottayam Panch. Samiti,Kerala,Kottayam,agy_0015,Kottayam Panch. Samiti,100.0
KOZHIKODE DISTRICT AUTHORITY,Kerala,Kozhikode,agy_0016,Kozhikode District Authority,100.0
Kozhikode District Authority,Kerala,Kozhikode,agy_0016,Kozhikode District Authority,100.0
kozhikode district authority,Kerala,Kozhikode,agy_0016,Kozhikode District Authority,100.0
KOZHIKODE PUBLIC WORKS DEPARTMENT,Kerala,Kozhikode,agy_0017,Kozhikode Public Works Department,100.0
Kozhikode Public Works Department,Kerala,Kozhikode,agy_0017,Kozhikode Public Works Department,100.0
kozhikode public works department,Kerala,Kozhikode,agy_0017,Kozhikode Public Works Department,100.0
KOZHIKODE ZILLA PARISHAD,Kerala,Kozhikode,agy_0018,Kozhikode Zilla Parishad,100.0
Kozhikode Zilla Parishad,Kerala,Kozhikode,agy_0018,Kozhikode Zilla Parishad,100.0
kozhikode zilla parishad,Kerala,Kozhikode,agy_0018,Kozhikode Zilla Parishad,100.0
VADAKARA MUNICIPAL COUNCIL,Kerala,Kozhikode,agy_0019,Vadakara Municipal Council,100.0
Vadakara Municipal Council,Kerala,Kozhikode,agy_0019,Vadakara Municipal Council,100.0
vadakara municipal council,Kerala,Kozhikode,agy_0019,Vadakara Municipal Council,100.0
MALAPPURAM GRAM PANCHAYAT,Kerala,Malappuram,agy_0020,Malappuram Gram Panchayat,100.0
Malappuram Gram Panchayat,Kerala,Malappuram,agy_0020,Malappuram Gram Panchayat,100.0
malappuram gram panchayat,Kerala,Malappuram,agy_0020,Malappuram Gram Panchayat,100.0
MALAPPURAM MUNICIPAL CORPORATION,Kerala,Malappuram,agy_0021,Malappuram Municipal Corporation,100.0
Malappuram Muncipal Corporation,Kerala,Malappuram,agy_0021,Malappuram Municipal Corporation,98.4
Malappuram Municipal Corporation,Kerala,Malappuram,agy_0021,Malappuram Municipal Corporation,100.0
malappuram municipal corporation,Kerala,Malappuram,agy_0021,Malappuram Municipal Corporation,100.0
MALAPPURAM RURAL DEVELOPMENT AGENCY,Kerala,Malappuram,agy_0022,Malappuram Rural Development Agency,100.0
Malappuram Rural Development Agency,Kerala,Malappuram,agy_0022,Malappuram Rural Development Agency,100.0
malappuram rural development agency,Kerala,Malappuram,agy_0022,Malappuram Rural Development Agency,100.0
PALAKKAD MUNICIPAL CORPORATION,Kerala,Palakkad,agy_0023,Palakkad Municipal Corporation,100.0
Palakkad Muncipal Corporation,Kerala,Palakkad,agy_0023,Palakkad Municipal Corporation,98.3
Palakkad Municipal Corporation,Kerala,Palakkad,agy_0023,Palakkad Municipal Corporation,100.0
palakkad municipal corporation,Kerala,Palakkad,agy_0023,Palakkad Municipal Corporation,100.0
PALAKKAD PUBLIC WORKS DEPARTMENT,Kerala,Palakkad,agy_0024,Palakkad Public Works Department,100.0
Palakkad Public Works Department,Kerala,Palakkad,agy_0024,Palakkad Public Works Department,100.0
palakkad public works department,Kerala,Palakkad,agy_0024,Palakkad Public Works Department,100.0
PATHANAMTHITTA ZILLA PARISHAD,Kerala,Pathanamthitta,agy_0025,Pathanamthitta Zilla Parishad,100.0
Pathanamthitta Zilla Parishad,Kerala,Pathanamthitta,agy_0025,Pathanamthitta Zilla Parishad,100.0
pathanamthitta zilla parishad,Kerala,Pathanamthitta,agy_0025,Pathanamthitta Zilla Parishad,100.0
THIRUVANANTHAPURAM MUNICIPAL CORPORATION,Kerala,Thiruvananthapuram,agy_0026,Thiruvananthapuram Municipal Corporation,100.0
Thiruvananthapuram Muncipal Corporation,Kerala,Thiruvananthapuram,agy_0026,Thiruvananthapuram Municipal Corporation,98.7
Thiruvananthapuram Municipal Corporation,Kerala,Thiruvananthapuram,agy_0026,Thiruvananthapuram Municipal Corporation,100.0
