work_id,state,district,loksabha_constituency,mp_name,implementing_agency_name,agency_id,work_name,work_description,status,date,amount_inr
WS/KE1/2015/00001,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of bus shelter at Ward 3 - Package 2,Construction of bus shelter at Ward 3 - Package 2 under MPLADS,Financial Sanction Approved,2015-06-21,1823936.29
WS/KE1/2015/00002,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Installation of transformer and electric poles, Beside Government Hospital - Phase 1","Installation of transformer and electric poles, Beside Government Hospital - Phase 1",Financial Sanction Approved,2015-08-24,2006497.3
WS/KE1/2015/00003,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of solar street lights in Beside Sports Stadium - Stage II,Installation of solar street lights in Beside Sports Stadium - Stage II,New Recommendation,2015-09-27,303767.7
WS/KE1/2015/00004,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of irrigation channel near Zone 10,Repair of irrigation channel near Zone 10,Financial Sanction Approved,2015-09-20,507381.51
WS/KE1/2015/00005,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of tube well near Vidya Enclave,Installation of tube well near Vidya Enclave,New Recommendation,2015-10-11,479070.19
WS/KE1/2015/00006,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of compound wall for panchayat land, Patel Nagar - Additional Works","Construction of compound wall for panchayat land, Patel Nagar - Additional Works",Financial Sanction Approved,2015-10-05,548604.32
WS/KE1/2015/00008,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of solar street lights in Beside Sports Stadium - Stage II,Installation of solar street lights in Beside Sports Stadium - Stage II under MPLADS,New Recommendation,2015-12-23,816254.36
WS/KE1/2015/00009,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Repair and upgradation of health sub-centre, Vidya Enclave - Phase 2","Repair and upgradation of health sub-centre, Vidya Enclave - Phase 2 under MPLADS",Financial Sanction Approved,2015-12-09,310692.43
WS/KE1/2015/00010,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of anganwadi centre at Patel Nagar - Phase 1,Construction of anganwadi centre at Patel Nagar - Phase 1 under MPLADS,New Recommendation,2015-12-03,553179.62
WS/KE1/2016/00011,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of check dam near Beside Government Hospital - Phase 2,Construction of check dam near Beside Government Hospital - Phase 2,New Recommendation,2016-01-10,794884.95
