agency_id,agency_name,state,district,constituency,year_month,monthly_amount,work_count,cumulative_amount,work_category,peer_ratio,hist_median,hist_mad,hist_upper_fence,hist_iqr,insufficient_history,modified_z_score,iqr_ratio,velocity_ratio,acceleration,risk_score,risk_tier,flag_reason
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2022-04,1300651.0,3,1300651.0,Roads & Bridges,1.0,1300651.0,0.0,1300651.0,0.0,True,0.0,0.0,1.0,0.0,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2022-08,1386666.0,3,2687317.0,Health & Education,1.0,1300651.0,0.0,1300651.0,0.0,True,0.0,0.0,1.07,0.07,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2022-09,1274283.0,4,3961600.0,Health & Education,1.0,1343658.5,43007.5,1429673.5,43007.5,True,0.0,0.0,0.95,-0.12,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2022-10,907271.0,3,4868871.0,Public Infrastructure & Community Halls,1.0,1300651.0,26368.0,1427945.75,56191.5,False,0.0,0.0,0.7,-0.25,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2022-12,992236.0,3,5861107.0,Health & Education,1.0,1287467.0,56191.5,1531591.875,139624.75,False,0.0,0.0,0.77,0.07,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-01,725069.0,3,6586176.0,Health & Education,1.0,1274283.0,112383.0,1763273.5,308415.0,False,0.0,0.0,0.57,-0.2,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-03,1060946.0,4,7647122.0,Public Infrastructure & Community Halls,1.0,1133259.5,196690.0,1842379.125,365546.75,False,0.0,0.0,0.94,0.37,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-04,1418483.0,1,9065605.0,Water Supply & Sanitation,1.0,1060946.0,213337.0,1794037.25,337713.5,False,1.13,0.0,1.38,0.45,10.8,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-05,1018556.0,4,10084161.0,Public Infrastructure & Community Halls,1.0,1167614.5,197215.0,1848894.75,351160.0,False,0.0,0.0,0.99,-0.39,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-06,1079745.0,3,11163906.0,Health & Education,0.98,1060946.0,213337.0,1763273.5,308415.0,False,0.06,0.0,1.07,0.08,1.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-07,1368919.0,4,12532825.0,Health & Education,0.96,1070345.5,183506.0,1736923.5,295243.0,False,1.1,0.0,1.32,0.24,10.1,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-08,1387633.0,1,13920458.0,Roads & Bridges,1.0,1079745.0,194538.0,1828868.5,329389.0,False,1.07,0.0,1.3,-0.02,9.7,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-09,1343801.0,2,15264259.0,Public Infrastructure & Community Halls,1.0,1177014.0,188341.5,1915425.375,361379.75,False,0.6,0.0,1.1,-0.2,4.9,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-11,646341.0,2,15910600.0,Roads & Bridges,1.0,1274283.0,144200.0,1894463.5,350363.0,False,0.0,0.0,0.48,-0.62,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-12,638408.0,2,16549008.0,Public Infrastructure & Community Halls,1.0,1177014.0,188341.5,1908374.75,363823.5,False,0.0,0.0,0.53,0.05,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_001,Bangalore Rural Zilla Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2024-02,940473.0,4,17489481.0,Health & Education,1.0,1079745.0,264056.0,1966269.75,406606.5,False,0.0,0.0,0.78,0.25,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_002,Hosakote Taluk Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2023-08,1622860.0,2,1622860.0,Health & Education,1.0,1622860.0,0.0,1622860.0,0.0,True,0.0,0.0,1.0,0.0,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_002,Hosakote Taluk Panchayat,Karnataka,Bangalore Rural,Bangalore Rural,2024-03,1354735.0,2,2977595.0,Health & Education,1.0,1622860.0,0.0,1622860.0,0.0,True,0.0,0.0,0.83,-0.17,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-01,3124098.0,3,3124098.0,Water Supply & Sanitation,1.0,3124098.0,0.0,3124098.0,0.0,True,0.0,0.0,1.0,0.0,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-04,1379766.0,3,4503864.0,Public Infrastructure & Community Halls,1.0,3124098.0,0.0,3124098.0,0.0,True,0.0,0.0,0.44,-0.56,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-06,1585414.0,2,6089278.0,Health & Education,1.0,2251932.0,872166.0,3996264.0,872166.0,True,0.0,0.0,0.7,0.26,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-07,1354617.0,4,7443895.0,Health & Education,1.0,1585414.0,205648.0,3663005.0,872166.0,False,0.0,0.0,0.85,0.15,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-08,977942.0,3,8421837.0,Public Infrastructure & Community Halls,1.0,1482590.0,115398.5,2864994.375,596606.25,False,0.0,0.0,0.66,-0.19,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-09,1282402.0,4,9704239.0,Roads & Bridges,1.0,1379766.0,205648.0,1931609.5,230797.0,False,0.0,0.0,0.93,0.27,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-10,1529159.0,1,11233398.0,Water Supply & Sanitation,1.0,1367191.5,151506.0,1884321.375,233546.25,False,0.72,0.0,1.12,0.19,5.9,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-11,1432323.0,1,12665721.0,Public Infrastructure & Community Halls,1.0,1379766.0,149393.0,1915452.0,238777.0,False,0.24,0.0,1.05,-0.07,2.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2022-12,1360867.0,4,14026588.0,Water Supply & Sanitation,1.0,1406044.5,123378.5,1853212.0,206659.5,False,0.0,0.0,0.98,-0.07,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-01,1048983.0,4,15075571.0,Public Infrastructure & Community Halls,1.0,1379766.0,97364.0,1790972.0,174542.0,False,0.0,0.0,0.77,-0.2,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-02,1266799.0,4,16342370.0,Public Infrastructure & Community Halls,1.0,1370316.5,123378.5,1811691.375,204494.25,False,0.0,0.0,0.96,0.19,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-03,1274396.0,4,17616766.0,Health & Education,1.0,1360867.0,94068.0,1789951.75,206140.5,False,0.0,0.0,0.96,0.01,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-04,858562.0,2,18475328.0,Health & Education,1.0,1357742.0,87144.5,1732584.875,184035.25,False,0.0,0.0,0.65,-0.31,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-05,1719277.0,4,20194605.0,Health & Education,1.0,1354617.0,87818.0,1680609.0,165524.0,False,2.8,0.23,1.35,0.7,23.8,Low,Elevated Disbursement (2.8 Z-Score)
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-06,1126572.0,2,21321177.0,Health & Education,1.02,1357742.0,131180.0,1859327.625,236251.75,False,0.0,0.0,0.89,-0.47,0.1,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-07,1484812.0,1,22805989.0,Health & Education,1.04,1354617.0,174542.0,1906824.25,284055.5,False,0.5,0.0,1.24,0.35,5.5,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-09,787440.0,4,23593429.0,Health & Education,1.0,1357742.0,149243.5,1892133.5,264156.5,False,0.0,0.0,0.62,-0.62,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-11,827231.0,3,24420660.0,Public Infrastructure & Community Halls,1.0,1354617.0,174542.0,2022172.0,358240.0,False,0.0,0.0,0.69,0.07,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2023-12,905792.0,2,25326452.0,Health & Education,1.0,1318509.5,201293.5,2076654.0,403309.5,False,0.0,0.0,0.91,0.22,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2024-01,1170335.0,1,26496787.0,Public Infrastructure & Community Halls,1.0,1282402.0,233419.0,2126225.0,445105.0,False,0.0,0.0,1.15,0.24,1.1,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2024-02,1640718.0,4,28137505.0,Public Infrastructure & Community Halls,1.0,1278399.0,217914.5,2066779.0,414222.5,False,1.12,0.0,1.61,0.46,12.5,Low,Normal Baseline Variance
AGN_KAR_BAN_003,Nelamangala Town Municipal Council,Karnataka,Bangalore Rural,Bangalore Rural,2024-03,1007915.0,3,29145420.0,Health & Education,1.0,1282402.0,233419.0,2138555.5,435829.0,False,0.0,0.0,0.97,-0.64,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-01,2995755.0,4,2995755.0,Health & Education,1.0,2995755.0,0.0,2995755.0,0.0,True,0.0,0.0,1.0,0.0,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-04,1639693.0,1,4635448.0,Health & Education,1.0,2995755.0,0.0,2995755.0,0.0,True,0.0,0.0,0.55,-0.45,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-05,1016488.0,1,5651936.0,Health & Education,1.0,2317724.0,678031.0,3673786.0,678031.0,True,0.0,0.0,0.44,-0.11,0.0,Insufficient History,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-07,1946839.0,1,7598775.0,Health & Education,1.0,1639693.0,623205.0,3802174.25,989633.5,False,0.33,0.0,1.19,0.75,3.7,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-08,1058402.0,2,8657177.0,Public Infrastructure & Community Halls,1.0,1793266.0,465175.5,3296832.375,725176.25,False,0.0,0.0,0.59,-0.6,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-09,1138081.0,1,9795258.0,Roads & Bridges,1.0,1639693.0,581291.0,3279494.5,888437.0,False,0.0,0.0,0.69,0.1,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-10,1753735.0,3,11548993.0,Public Infrastructure & Community Halls,1.0,1388887.0,351442.0,3057648.625,791730.75,False,0.7,0.0,1.26,0.57,6.9,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-11,1020353.0,2,12569346.0,Health & Education,1.0,1639693.0,501612.0,2978355.25,752045.5,False,0.0,0.0,0.73,-0.53,0.0,Low,Normal Baseline Variance
AGN_KAR_BAN_004,Executive Engineer Pwd Bangalore Rural,Karnataka,Bangalore Rural,Bangalore Rural,2022-12,1508000.0,1,14077346.0,Water Supply & Sanitation,1.0,1388887.0,366691.0,2931692.875,753121.25,False,0.22,0.0,1.37,0.64,4.3,Low,Normal Baseline Variance
